潘多拉粉红频道,p2p://60.249.213.25:9900/5713985f000b8b8a02aca8ba011b7763
潘多拉完美频道,p2p://60.249.213.25:9900/57131d85000e2ff400ccc5e1018c4967
彩虹电影频道,p2p://60.249.213.25:9900/57131cb40001e85300c9925340d81667
彩虹K频道,p2p://60.249.213.25:9900/57131c760002b49600c8a0570239525d
彩虹e频道,p2p://60.249.213.25:9900/57133c9e000853e201463dff41c350a4
松视1频道,p2p://60.249.213.25:9900/57131c4b0007ccfb00c7f9ad180f1833
松视2频道,p2p://60.249.213.25:9900/57131ce8000b1cf000ca5fcf5d282c84
松视3频道,p2p://60.249.213.25:9900/57131d65000ba29b00cc483a6b266752
松视4频道,p2p://60.249.213.25:9900/57131d130001f89a00cb0570203d37d1
乐活频道,p2p://60.249.213.25:9900/571319c00004a24400be09e333983a78
星颖STAR频道,p2p://60.249.213.25:9900/57131d3d000a3af500cbab9d1f3a4066
HAPPY有码成人,

p2p://60.249.213.25:9900/57131ec4000aee3400d1a3256523166c
HOT频道,p2p://60.249.213.25:9900/571339e6000011ba013b9d1f6d7a22db
Hiplay玩家频道,p2p://60.249.213.25:9900/57131ea6000354ae00d12c0373ba663c
惊艳成人,p2p://60.249.213.25:9900/57131c150000c94c00c724f1771a7869
叮当成人,p2p://60.249.213.25:9900/57131b30000c526b00c3a95c2d4e34b2
香蕉成人,p2p://60.249.213.25:9900/57131bf0000c667c00c69762056c7489
HOT(限18+),rtmp://lv1.ts33.net:1935/tv/ttv11
星颖STAR(限18+),rtmp://lv1.ts33.net:1935/tv/ttv12
PASSIXXX,http://publish.thewebstream.co:1935/leved/_definst_/passielivestream/playlist.m3u8
BabeStation X-Treme,http://178.33.126.213:1935/bsx24/mpegts1.stream/.m3u8
Korea Paradise TV,rtmp://edge2.everyon.tv/etv2/pld1008
private SpiceTV,rtmp://123.108.164.71/etv2//pld1005
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
高清电影频道2,http://60.174.241.114/wshdl.load.cdn.zhanqi.tv/zqlive/21333_CvnhE.flv
广东卫视HD,http://zb.v.qq.com:1863/?progid=100104501
深圳卫视HD,http://zb.v.qq.com:1863/?progid=100003601
东方卫视HD,http://zb.v.qq.com:1863/?progid=100101301
河北卫视高清,http://live01.hebtv.com/channels/hebtv/video_channel_04/ts:2000k/live
高清MV,rtmp://lxrtmp.load.cdn.zhanqi.tv/zqlive/44390_JuGdD
佛教,http://211.73.19.201/live/E6290DC0-BE6A-B7C4-79F5-114BDB417F9E?fmt=x264_500K_ts&cpid=admin&size=1280X720&toflv=1
影视12,rtmp://123.108.164.71/etv2sb/pld511
10013,rtmp://edge2.everyon.tv/etv2/phd1006
日本妞优,rtsp://u.itvitv.com/jpm1
日本无码1,http://199.195.195.108:32001
日本无码3,http://199.195.195.108:32003
x1,http://208.122.3.2:8550
x3,http://208.122.3.2:9000
x4,http://208.122.3.2:8700
日本,http://199.195.195.108:32004
深夜影院1台,http://199.195.195.108:32006
欧美 W M 1,http://199.195.195.108:32005
韓國成人频道,rtmp://edge2.everyon.tv/etv2sb/phd64#http://cr.stream.omc.hk/etv2sb/phd64/playlist.m3u8
韓國成人9頻道,rtmp://edge2.everyon.tv/etv2sb/phd499
韓國成人10頻道,rtmp://edge2.everyon.tv/etv2sb/phd501
韓國成人12頻道,rtmp://edge2.everyon.tv/etv2sb/phd511
韓國成人14頻道,rtmp://edge2.everyon.tv/etv2sb/phd769
韓國成人17頻道,rtmp://edge2.everyon.tv/etv2sb/phd772
韓國成人19頻道,rtmp://edge2.everyon.tv/etv2sb/phd991
韓國成人20頻道,rtmp://edge2.everyon.tv/etv2sb/phd992
韓國成人23頻道,rtmp://edge2.everyon.tv/etv2/phd1005
性感2台HD，,rtmp://edge2.everyon.tv/etv2/pld1005
兔子成人台HD，,rtmp://edge2.everyon.tv/etv2/pld1006
午夜频道1,http://59.120.43.181:8082
124,rtsp://50.7.207.114/sinema5
126,rtsp://50.7.207.114/sinema3
paxTV,rtmp://124.139.232.61:1935/live/livestream
欧美无码1,http://199.195.195.108:32005
欧美无码2,http://199.195.195.108:32006
欧洲CR-5,rtmp://123.108.164.71/etv2sb/phd511
一本道2,rtmp://198.211.33.185/livepkgr/1C
日本无码1,http://199.195.195.108:32001
日本无码2,http://199.195.195.108:32002
日本无码3,http://199.195.195.108:32003
日本无码4,http://199.195.195.108:32004
欧美无码1,http://199.195.195.108:32005
Kanal D HD -1280*720,http://212.224.108.80/S1/HLS_LIVE/kanald/1500/prog_index.m3u8
wawa,rtmp://stream.smcloud.net/live2/wawa/wawa_360p
AXN台.,mms://1.itvitv.com/1axn.[/url]
天华剧场,rtmp://116.77.70.97:1935/livestream/g9bfmwth
天华剧场,http://116.77.70.98:5080/hls/g9bfmwth.m3u8
芒果电影,http://123.129.203.108:5000/nn_live.ts?id=MGDY
谍战剧场,http://live.aishang.ctlcdn.com/live/ch138_10240003.m3u8
芒果电视剧,http://123.129.203.108:5000/nn_live.ts?id=MGDSJ
哈尔滨影视频道,http://222.171.183.168/live/331875bfea734c8fb07516b10c8992f3.m3u8?fmt=h264_400k_ts&m3u8
影视1,rtmp://edge2.everyon.tv/etv2/pld1005
影视2,rtmp://edge2.everyon.tv/etv2/pld1006
影视3,rtmp://edge2.everyon.tv/etv2/pld1008
影视4,rtmp://123.108.164.71/etv2sb/pld59
影视5,rtmp://123.108.164.71/etv2sb/pld60
影视6,rtmp://123.108.164.71/etv2sb/pld61
影视7,rtmp://123.108.164.71/etv2sb/pld62
影视8,rtmp://123.108.164.71/etv2sb/pld63
影视9,rtmp://123.108.164.71/etv2sb/pld64
影视10,rtmp://123.108.164.71/etv2sb/pld499
影视11,rtmp://123.108.164.71/etv2sb/pld501
影视12,rtmp://123.108.164.71/etv2sb/pld511
影视14,rtmp://123.108.164.71/etv2sb/pld771
影视16,rtmp://123.108.164.71/etv2sb/pld968
影视17,rtmp://123.108.164.71/etv2sb/pld991
影视18,rtmp://123.108.164.71/etv2sb/pld992
影视19,rtmp://123.108.164.71/etv2sb/pld993
影视20,rtmp://123.108.164.71/etv2/pld1005
影视21,rtmp://123.108.164.71/etv2/pld1006
影视22,rtmp://123.108.164.71/etv2/pld1008
影视23,rtmp://123.108.164.71/etv2sb/phd59
影视24,rtmp://123.108.164.71/etv2sb/phd62
影视25,rtmp://123.108.164.71/etv2sb/phd63
影视27,rtmp://123.108.164.71/etv2sb/phd64
影视28,rtmp://123.108.164.71/etv2sb/phd499
影视29,rtmp://123.108.164.71/etv2sb/phd501
影视30,rtmp://123.108.164.71/etv2sb/phd511
影视31,rtmp://123.108.164.71/etv2sb/phd769

韩国成人高清1台,http://edge2.everyon.tv/etv2sb/phd59/HasBahCa.m3u8
韩国成人高清2台,http://edge2.everyon.tv/etv2sb/phd60/HasBahCa.m3u8
韩国成人高清3台,http://edge2.everyon.tv/etv2sb/phd61/HasBahCa.m3u8
韩国成人高清5台,http://edge2.everyon.tv/etv2sb/phd63/HasBahCa.m3u8
Korea Ask1 TV,http://edge2.everyon.tv/etv2/phd1005/BratuMarian.m3u8
Korea Ask TV,rtmp://edge2.everyon.tv/etv2/phd1005
Korea Livething Premium,http://edge2.everyon.tv/etv2/phd1006/BratuMarian.m3u8
Korea Livething Premium,rtmp://edge2.everyon.tv/etv2/phd1006
Korea Okadai,http://edge2.everyon.tv/etv2/pld1003/BratuMarian.m3u8
Korea Okadai,rtmp://edge2.everyon.tv/etv2/pld1003
Korea Okadai HD,http://edge2.everyon.tv/etv2/phd1003/BratuMarian.m3u8
Korea Okadai HD,rtmp://edge2.everyon.tv/etv2/phd1003
Korea Paradise TV,http://edge2.everyon.tv/etv2/pld1008/BratuMarian.m3u8
Korea Paradise TV,rtmp://edge2.everyon.tv/etv2/pld1008
欧美08,http://galsflv.videosz.com//mom-and-the-pop_4/videosz-mom-and-the-pop-42.flv
性感2台HD,rtmp://edge2.everyon.tv/etv2/pld1005
兔子成人台HD,rtmp://edge2.everyon.tv/etv2/pld1006
韩国红圈一台,rtmp://edge2.everyon.tv/etv2/pld1008
棒子3,rtmp://edge2.everyon.tv/etv2/phd1005
日本台8,rtsp://c.itvitv.com/wowow.ghfyenxdhfdscz
日韩CR电影5,rtmp://123.108.164.71/etv2/phd1005
新韩源1,rtmp://edge2.everyon.tv/etv2/phd1003
新韩源7,rtmp://edge2.everyon.tv:1935/etv2/phd1003
新韩源2,rtmp://edge2.everyon.tv/etv2/phd1005
新韩源3,rtmp://edge2.everyon.tv/etv2/phd1008
新韩源5,rtmp://edge2.everyon.tv:1935/etv2/phd1005
新韩源6,rtmp://edge2.everyon.tv/etv2/phd1006
新韩源8,rtmp://edge2.everyon.tv:1935/etv2/phd877
新韩源9,rtmp://edge2.everyon.tv:1935/etv2/phd1008
棒子3,rtmp://edge2.everyon.tv/etv2/phd1005
日本台8,rtsp://c.itvitv.com/wowow.ghfyenxdhfdscz
日韩CR电影4,rtmp://123.108.164.71/etv2/phd1003
日韩CR电影5,rtmp://123.108.164.71/etv2/phd1005
新韩源1,rtmp://edge2.everyon.tv/etv2/phd1003
新韩源1,rtmp://edge2.everyon.tv:1935/etv2/phd1003
新韩源2,rtmp://edge2.everyon.tv/etv2/phd1005
新韩源3,rtmp://edge2.everyon.tv/etv2/phd1008
新韩源5,rtmp://edge2.everyon.tv:1935/etv2/phd1005
新韩源6,rtmp://edge2.everyon.tv/etv2/phd1006
新韩源8,rtmp://edge2.everyon.tv:1935/etv2/phd877
韩国有码标清01,rtmp://123.108.164.71/etv2sb/pld59
韩国有码标清02,rtmp://123.108.164.71/etv2sb/pld60
韩国有码标清03,rtmp://123.108.164.71/etv2sb/pld61
韩国有码标清04,rtmp://123.108.164.71/etv2sb/pld62
韩国有码标清05,rtmp://123.108.164.71/etv2sb/pld63
韩国有码标清06,rtmp://123.108.164.71/etv2sb/pld64
韩国有码标清08,rtmp://123.108.164.71/etv2sb/pld499
韩国有码标清09,rtmp://123.108.164.71/etv2sb/pld501
韩国有码标清10,rtmp://123.108.164.71/etv2sb/pld511
韩国有码标清13,rtmp://123.108.164.71/etv2sb/pld769
韩国有码标清14,rtmp://123.108.164.71/etv2sb/pld771
韩国有码标清15,rtmp://123.108.164.71/etv2sb/pld772
韩国有码标清18,rtmp://123.108.164.71/etv2sb/pld968
韩国有码标清19,rtmp://123.108.164.71/etv2sb/pld991
韩国有码标清20,rtmp://123.108.164.71/etv2sb/pld992
韩国有码标清22,rtmp://123.108.164.71/etv2/pld1003
韩国有码标清23,rtmp://123.108.164.71/etv2/pld1005
韩国有码标清24,rtmp://123.108.164.71/etv2/pld1006
韩国有码标清25,rtmp://123.108.164.71/etv2/pld1008
韩国有码高清01,rtmp://123.108.164.71/etv2sb/phd59
韩国有码高清02,rtmp://123.108.164.71/etv2sb/phd60
韩国有码高清04,rtmp://123.108.164.71/etv2sb/phd62
韩国有码高清06,rtmp://123.108.164.71/etv2sb/phd64
韩国有码高清08,rtmp://123.108.164.71/etv2sb/phd499
韩国有码高清09,rtmp://123.108.164.71/etv2sb/phd501
韩国有码高清10,rtmp://123.108.164.71/etv2sb/phd511
韩国有码高清13,rtmp://123.108.164.71/etv2sb/phd769
韩国有码高清14,rtmp://123.108.164.71/etv2sb/phd771
韩国有码高清18,rtmp://123.108.164.71/etv2sb/phd968
韩国有码高清20,rtmp://123.108.164.71/etv2sb/phd992
韩国有码高清21,rtmp://123.108.164.71/etv2sb/phd993
韩国有码高清22,rtmp://123.108.164.71/etv2/phd1003
韩国有码高清23,rtmp://123.108.164.71/etv2/phd1005
韩国有码高清25,rtmp://123.108.164.71/etv2/phd1008
棒子3,rtmp://edge2.everyon.tv/etv2/phd1005
日韩电影,rtsp://c.itvitv.com/wowow.ghfyenxdhfdscz
日韩电影2,rtmp://123.108.164.71/etv2/phd1005
新韩源1,rtmp://edge2.everyon.tv/etv2/phd1003
新韩源7,rtmp://edge2.everyon.tv:1935/etv2/phd1003
新韩源2,rtmp://edge2.everyon.tv/etv2/phd1005
新韩源3,rtmp://edge2.everyon.tv/etv2/phd1008
新韩源5,rtmp://edge2.everyon.tv:1935/etv2/phd1005
新韩源6,rtmp://edge2.everyon.tv/etv2/phd1006
新韩源8,rtmp://edge2.everyon.tv:1935/etv2/phd877
新韩源9,rtmp://edge2.everyon.tv:1935/etv2/phd1008
性感2台HD，,rtmp://edge2.everyon.tv/etv2/pld1005
兔子成人台HD，,rtmp://edge2.everyon.tv/etv2/pld1006
韩国红圈一台，,rtmp://edge2.everyon.tv/etv2/pld1008
棒子3,rtmp://edge2.everyon.tv/etv2/phd1005
日韩CR电影5,rtmp://123.108.164.71/etv2/phd1005
日本5,http://59.120.43.181:8085
日本6,http://59.120.43.181:8086
新韩源1,rtmp://edge2.everyon.tv/etv2/phd1003
新韩源1,rtmp://edge2.everyon.tv:1935/etv2/phd1003
新韩源2,rtmp://edge2.everyon.tv/etv2/phd1005
新韩源3,rtmp://edge2.everyon.tv/etv2/phd1008
新韩源5,rtmp://edge2.everyon.tv:1935/etv2/phd1005
新韩源6,rtmp://edge2.everyon.tv/etv2/phd1006
新韩源8,rtmp://edge2.everyon.tv:1935/etv2/phd877
新韩源9,rtmp://edge2.everyon.tv:1935/etv2/phd1008
韩国有码标清01,rtmp://123.108.164.71/etv2sb/pld59
韩国有码标清02,rtmp://123.108.164.71/etv2sb/pld60
韩国有码标清04,rtmp://123.108.164.71/etv2sb/pld62
韩国有码标清05,rtmp://123.108.164.71/etv2sb/pld63
韩国有码标清06,rtmp://123.108.164.71/etv2sb/pld64
韩国有码标清08,rtmp://123.108.164.71/etv2sb/pld499
韩国有码标清09,rtmp://123.108.164.71/etv2sb/pld501
韩国有码标清10,rtmp://123.108.164.71/etv2sb/pld511
韩国有码标清14,rtmp://123.108.164.71/etv2sb/pld771
韩国有码标清15,rtmp://123.108.164.71/etv2sb/pld772
韩国有码标清18,rtmp://123.108.164.71/etv2sb/pld968
韩国有码标清19,rtmp://123.108.164.71/etv2sb/pld991
韩国有码标清21,rtmp://123.108.164.71/etv2sb/pld993
2CR,http://a7-60.5-194.cdn13.com/30000/30931/30931.flv?cdn_hash=66299f6be7e12855f9903d214900e7d8&cdn_creation_time=1384714010&cdn_ttl=600
4CR,http://a7-60.5-200.cdn13.com/25000/25385/25385.flv?cdn_hash=7cffda1882fc4692dfc751906c97972a&cdn_creation_time=1384717475&cdn_ttl=600
5CR,http://a7-60.5-77.cdn13.com/25000/25543/25543.flv?cdn_hash=be10edcd25bd236f0b8dc611eedff621&cdn_creation_time=1384717438&cdn_ttl=600
7CR,http://a7-60.5-79.cdn13.com/29000/29224/29224.flv?cdn_hash=6a7152be047b8d2d13872a9a528e4518&cdn_creation_time=1384716762&cdn_ttl=600
11CR,http://a7-60.5-201.cdn13.com/29000/29132/29132.flv?cdn_hash=7a114472d44b65cd0695a7d3dc699cc7&cdn_creation_time=1384716378&cdn_ttl=600
13CR,http://a7-60.5-201.cdn13.com/28000/28944/28944.flv?cdn_hash=774c0d30d6795809d2f2b2b624bf73e6&cdn_creation_time=1384716278&cdn_ttl=600
15CR,http://a7-60.5-201.cdn13.com/29000/29091/29091.flv?cdn_hash=f418e7ca2a9080b9fd198ff5e41b8d98&cdn_creation_time=1384716206&cdn_ttl=600
16CR,http://a7-60.5-69.cdn13.com/28000/28927/28927.flv?cdn_hash=617053833638d35a5a573c8103eb99a2&cdn_creation_time=1384716160&cdn_ttl=600
18CR,http://a7-60.5-194.cdn13.com/28000/28978/28978.flv?cdn_hash=7875862e59b6da6bf73ef9952ef2c722&cdn_creation_time=1384716001&cdn_ttl=600
19CR,http://a7-60.5-78.cdn13.com/29000/29139/29139.flv?cdn_hash=9f0626ce9c59dcd6da293aaa58813927&cdn_creation_time=1384715929&cdn_ttl=600
20CR,http://a7-60.5-167.cdn13.com/29000/29018/29018.flv?cdn_hash=67b2ca616d79f623aa9daaf5f7a4e833&cdn_creation_time=1384715854&cdn_ttl=600
25CR,http://a7-60.5-166.cdn13.com/29000/29090/29090.flv?cdn_hash=aaff703f4231d13733bb1592c4f696a6&cdn_creation_time=1384715634&cdn_ttl=600
26CR,http://a7-60.5-201.cdn13.com/29000/29128/29128.flv?cdn_hash=aaadff27d6ab2649c58be2c80e95fbcc&cdn_creation_time=1384715303&cdn_ttl=600
28CR,http://a7-60.5-194.cdn13.com/28000/28999/28999.flv?cdn_hash=fd78bf7ca02ec2fc4fdb547010ebb86a&cdn_creation_time=1384715227&cdn_ttl=600
29CR,http://a7-60.5-79.cdn13.com/28000/28941/28941.flv?cdn_hash=8be4152cdba1fdd9cbefea35cd1a817e&cdn_creation_time=1384715201&cdn_ttl=600
30CR,http://a7-60.5-200.cdn13.com/29000/29229/29229.flv?cdn_hash=2f8f4afcbb8c5031fffae81fd72fc9f5&cdn_creation_time=1384715174&cdn_ttl=600
